iter	Passed	Remaining
0	147	147147
1	155	77413
2	164	54504
3	172	43038
4	181	36194
5	191	31648
6	200	28442
7	210	26090
8	219	24207
9	229	22757
10	239	21546
11	247	20396
12	257	19557
13	267	18841
14	276	18172
15	286	17612
16	296	17142
17	306	16714
18	316	16339
19	326	16000
20	336	15669
21	345	15379
22	355	15105
23	365	14855
24	374	14611
25	383	14381
26	394	14204
27	403	14012
28	413	13839
29	422	13668
30	432	13503
31	441	13353
32	450	13188
33	459	13066
34	469	12955
35	479	12840
36	489	12737
37	499	12633
38	508	12520
39	517	12426
40	527	12332
41	536	12247
42	546	12160
43	555	12077
44	565	11995
45	574	11919
46	584	11845
47	594	11782
48	603	11719
49	613	11661
50	623	11610
51	633	11548
52	643	11491
53	652	11436
54	660	11354
55	670	11300
56	679	11248
57	689	11201
58	700	11170
59	710	11136
60	720	11089
61	730	11047
62	739	10999
63	750	10974
64	759	10931
65	769	10892
66	778	10847
67	788	10806
68	797	10758
69	806	10716
70	816	10682
71	826	10649
72	836	10625
73	846	10598
74	857	10572
75	866	10538
76	876	10506
77	886	10476
78	895	10445
79	905	10418
80	915	10383
81	925	10357
82	934	10325
83	944	10297
84	953	10267
85	963	10243
86	973	10215
87	983	10191
88	993	10165
89	1003	10142
90	1012	10118
91	1023	10097
92	1033	10078
93	1044	10065
94	1054	10048
95	1065	10030
96	1075	10007
97	1085	9989
98	1094	9965
99	1104	9937
100	1113	9913
101	1123	9886
102	1132	9862
103	1142	9842
104	1152	9821
105	1162	9802
106	1172	9782
107	1181	9756
108	1189	9721
109	1199	9702
110	1208	9677
111	1218	9657
112	1228	9639
113	1237	9620
114	1247	9601
115	1257	9582
116	1267	9562
117	1276	9542
118	1286	9523
119	1296	9507
120	1306	9493
121	1316	9477
122	1327	9462
123	1336	9439
124	1345	9420
125	1355	9402
126	1365	9384
127	1374	9366
128	1384	9349
129	1394	9331
130	1404	9316
131	1413	9295
132	1423	9278
133	1433	9267
134	1443	9246
135	1452	9230
136	1462	9212
137	1472	9196
138	1482	9180
139	1492	9165
140	1502	9155
141	1512	9140
142	1522	9125
143	1532	9111
144	1542	9095
145	1552	9079
146	1561	9062
147	1571	9048
148	1581	9031
149	1590	9013
150	1600	8996
151	1609	8977
152	1619	8967
153	1630	8955
154	1639	8938
155	1649	8926
156	1659	8912
157	1669	8899
158	1680	8888
159	1690	8877
160	1702	8870
161	1712	8857
162	1722	8843
163	1731	8828
164	1742	8816
165	1752	8802
166	1761	8785
167	1770	8769
168	1780	8754
169	1790	8741
170	1800	8726
171	1810	8715
172	1821	8709
173	1832	8697
